fighter,KD,SIG_STR_pct,TD_pct,SUB_ATT,REV,SIG_STR_att,SIG_STR_landed,TOTAL_STR_att,TOTAL_STR_landed,TD_att,TD_landed,p4p_score
Kai Kara-France,0.05795962683641005,0.04660406403940888,0.024277814351547064,0.0003311482620130793,0.0140625,0.06207614899623559,0.05783665050494227,0.030346366318749887,0.030002674219671618,0.005237964989059081,0.003159922928709056,0.33189488144674656
James Wilks,0.0012849155808183244,0.056648706896551715,0.06631336405529953,0.1,0.03125,0.015038593294688039,0.016932308269266828,0.010238375681583568,0.013792152144136855,0.011323851203501094,0.00898143282536346,0.33180369995120945
TJ Dillashaw,0.0558017329669907,0.040583670385952654,0.03656842294156826,0.017647688070887832,0.0,0.05549194732781603,0.05152169354029451,0.027062742469857706,0.026616696366623116,0.01023394127643343,0.008489867073576261,0.33001840242000047
Viviane Araujo,0.04480642127239089,0.05701724137931035,0.07862857142857144,0.000531847544071652,0.0,0.04084649415640736,0.04732045752859554,0.01852707871195194,0.02106633202533344,0.0087199124726477,0.012545804869504294,0.33001016138878453
Israel Adesanya,0.13014977572078743,0.06185122575431034,0.0012903225806451615,0.0069633932062126815,0.0,0.040951323154104866,0.04852744702793924,0.018092185945969258,0.020773162109474497,0.0009786993982494527,0.00020599054125065684,0.3297835254389436
TJ Waldburger,0.02471633768171188,0.07092335668103449,0.07063436059907834,0.06918183110605629,0.03720703125,0.00788385820630097,0.011764016501031314,0.004825126478729742,0.007260852345251702,0.010103254923413567,0.014869942196531791,0.3293699679691401
Punahele Soriano,0.1214889968897585,0.06120689655172415,0.07649769585253456,0.0020471993176002273,0.0,0.017734196092623906,0.021320082505156573,0.008772111878084477,0.009916045492279356,0.004048140043763675,0.005750569276580837,0.3287819339001063
Joanna Jedrzejczyk,0.008500441410844667,0.045249525549376536,0.016423428242264646,0.000925150068290751,0.0,0.08537821144659559,0.09027600009040744,0.038633002121230914,0.040288400600361804,0.0010906728665207878,0.0017250175162024874,0.3284898499120956
Jon Jones,0.02679497619878568,0.06864886597032457,0.0633799395327494,0.010765507135744486,0.0,0.03883627356595036,0.05116284979419407,0.018902646299283486,0.02518298070989602,0.01189450204597687,0.012367357114832176,0.32793589836773707
Valerie Letourneau,0.018143396429641637,0.04192349137931034,0.044377880184331794,0.00796133067955644,0.0078125,0.07212463835035764,0.06268516782298893,0.03311280977293576,0.02873770715678516,0.005771334792122537,0.004499912418987563,0.32715016898701776
Hermes Franca,0.052960429419974954,0.04610320949255486,0.04198447318810222,0.06711944580866958,0.02155539772727273,0.017915718166558982,0.017662964730750217,0.014703110983477336,0.02121185378083589,0.014594548811418338,0.010961639516552811,0.32677279162616796
Max Holloway,0.039503980834934685,0.04745769539783741,0.020163952992991552,0.007795043864325656,0.0,0.0727833113991085,0.07421680349760916,0.03185108415056996,0.031187570772288592,0.00046897991828723684,0.0012926276059912712,0.326721050433944
Sijara Eubanks,0.01520280442346213,0.04555933459051723,0.05684144585253455,0.007037247654250782,0.004687500000000001,0.059272686430260624,0.05561714794674667,0.028517146391885958,0.02798436355365562,0.011287951312910284,0.011886604484147837,0.3238942326403717
Paul Kelly,0.00710679359409354,0.04034886853448277,0.07249142345110086,0.01886551037816321,0.04813368055555556,0.035053513400709536,0.03251531345709107,0.024012151182100323,0.03016636639351496,0.005973437879893022,0.00871508923532045,0.32338214806202525
Dennis Bermudez,0.0419021576155537,0.04985719506687373,0.05121990207373272,0.016705636174714416,0.008730002010569853,0.03664839845236833,0.03836038989856443,0.019756677109977874,0.0231373144912722,0.01924544143038438,0.017022442292323525,0.3225855566163352
Irene Aldana,0.006690411600313847,0.04195177801724137,0.03623911930363543,0.0026838700616845165,0.01640625,0.07772903784035624,0.07014188386774173,0.03499415560904304,0.03145029022418562,0.0018117098225139802,0.0024675950253984936,0.32256610137211433
Johnny Bedford,0.07568286417233643,0.0643426724137931,0.04967895545314901,0.0004147729628708179,0.007291666666666668,0.02958985654650851,0.03649915619726233,0.01778352483708929,0.023691420128178726,0.007334974471188912,0.010197349214690257,0.32250721306373403
Jenel Lausa,0.10430080974593321,0.04501077586206897,0.06866359447004608,0.016971320661252492,0.0,0.024573040228127868,0.026875117194824678,0.012879806798181188,0.014936024239971701,0.003090809628008752,0.004708355228586442,0.32200965405700127
Tim Elliott,0.007926977559389195,0.05416752677128233,0.06029740663402457,0.02044034999644584,0.020546875000000003,0.03425082755629879,0.03497648046362272,0.023058841528058916,0.02955127280658893,0.017473726836022975,0.019122012666403926,0.32181229781813825
Rashid Magomedov,0.08310806086170208,0.06324353448275861,0.03341013824884793,0.008053859305397591,0.0,0.038167530881915546,0.04659666229139321,0.018899394716958083,0.023691420128178726,0.002644055433989788,0.003735622117125007,0.3215502784682665
Alexander Volkov,0.025872169714508467,0.06598329741379311,0.054464285714285715,0.00021964866086942783,0.0,0.04557627869537817,0.06131867616726046,0.0240555760700716,0.033194290082599234,0.003968362509117432,0.0058837410716023435,0.3205363260994859
Jessica Andrade,0.012774142090917154,0.06274103230443494,0.06188488663274449,0.007906643734894796,0.0026909722222222226,0.04487216638719634,0.05242234988319583,0.02282849981340401,0.02803792401225759,0.010245880638918329,0.013266475075599443,0.31967097279578516
Jessamyn Duke,0.0012849155808183244,0.06324353448275864,0.0371705069124424,0.031987489337503554,0.0,0.045863310474788005,0.062103881492593285,0.02631337076259195,0.03854298282810672,0.0071115973741794295,0.00522946225258364,0.3188510514983659
Benson Henderson,0.024906728403893394,0.051395916116648704,0.05423995149975313,0.01585981689066372,0.003348214285714286,0.04408108937474317,0.04539198843621922,0.024314437803538366,0.028741843450626928,0.011636425994939824,0.014488184774040989,0.31840459703078167
Cory Sandhagen,0.05139628333420291,0.05518790409482759,0.048099078341013825,0.005997744493264856,0.01787109375,0.041323840485208506,0.04723888993062067,0.020064229901539308,0.023277662619257233,0.0034916917396061267,0.004356607987388334,0.3183050266769294
